"record_hash";"uni_cod";"a_a";"facolta";"laurea_nome";"laurea_tipo";"sede";"laurea_classe_cod";"curr_nome";"materia_nome";"materia_ssd_cod";"materia_cfu";"curr_materia_anno";"curr_materia_periodo";"modulo_nome";"sub_modulo_gruppo";"sub_modulo_nome";"modulo_cfu";"modulo_periodo";"insegnamento_prof";"insegnamento_prof_www";"isbn";"autori";"curatori";"traduttori";"titolo";"editore";"edizione";"anno_pub";"tipo_copertina";"pagg";"lingua";"prezzo";"testo_obb";"testo_uso";"testo_freq";"laurea_iscritti";"laurea_matricole";"prof_id";"insegnamento_id"
"d2f18b648e70f9d43a6ebaccedf6f5b8b492149dd561c08c4128f0609465d0eb993af2b57d8040031e5abb2c942609e0f37e9e333699a46c297949bd28644162";"polimi";2022;"Scuola Architettura Urbanistica Ingegneria delle Costruzioni";"ARCHITETTURA - AMBIENTE COSTRUITO - INTERNI - ARCHITECTURE - BUILT ENVIRONMENT - INTERIORS";"LM";"Milano Leonardo";"LM-4";"ACI - ARCHITETTURA - AMBIENTE COSTRUITO INTERNI";"CI URBANISTICA";"ICAR/20; ICAR/21; SPS/10";"8";"2";"1";"PROGETTAZIONE URBANA";"";"";"4";"1";"Clerici Maria Antonietta";"https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_didattica=evento&k_doc=43272&aa=2022&lang=IT&jaf_currentWFID=main";"9788855534864";"Maria Prezioso";"";"";"Territorial impact assessment of national and regional territorial cohesion in Italy";"Patron";"";"2020";"Brossura";"586";"Inglese";"58.00";"obb";"tutto";"tutti";1101;420;795;506859
"b85430bbf713136af0848b0ddd6e41af90da6a0f5c1f3c00d0b4e894cc62e63b0245ff422d6c650324be47b530a24cf7c5f563dfcac34312358d0f8198d8bbc0";"polimi";2022;"Scuola Architettura Urbanistica Ingegneria delle Costruzioni";"ARCHITETTURA - AMBIENTE COSTRUITO - INTERNI - ARCHITECTURE - BUILT ENVIRONMENT - INTERIORS";"LM";"Milano Leonardo";"LM-4";"ACI - ARCHITETTURA - AMBIENTE COSTRUITO INTERNI";"CI URBANISTICA";"ICAR/20; ICAR/21; SPS/10";"8";"2";"1";"SOCIOLOGIA URBANA";"";"";"4";"1";"Petrillo Agostino";"https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_didattica=evento&k_doc=5365&aa=2022&lang=IT&jaf_currentWFID=main";"9788855534864";"Maria Prezioso";"";"";"Territorial impact assessment of national and regional territorial cohesion in Italy";"Patron";"";"2020";"Brossura";"586";"Inglese";"58.00";"obb";"tutto";"tutti";1101;420;514;506860
"0b10ce1bd93ce1b36ea3aefca79cc038bfcb4d17c9246b055cfcea742e5a5a5996b9e242baeab9cb03a8a34aa320c840c517f05d808cfd26ac2284617d1e63c8";"polimi";2022;"Scuola Architettura Urbanistica Ingegneria delle Costruzioni";"ARCHITETTURA E DISEGNO URBANO - ARCHITECTURE AND URBAN DESIGN";"LM";"Milano Leonardo";"LM-4";"ADU - ARCHITETTURA E DISEGNO URBANO";"TECNICA DELLE COSTRUZIONI";"ICAR/09";"4";"1";"1";"";"";"";"";"";"Quaglini Virginio";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=134967";"9788855527835";"Daniel L. Schodek";"";"Dario Coronelli, Luca Martinelli";"Strutture";"Patron";"";"2004";"Brossura";"574";"Italiano";"42.00";"fac";"tutto";"tutti";1004;341;911;507152
"498496a35e6c8381b28aec51ba3e3f66e43fcdc17d30b921b11f663a4fa57650befcbd7be8bc01166d3c89e3b34fa7402e23c5fe9ad5d78b65abb033e3b24934";"polimi";2022;"Scuola Architettura Urbanistica Ingegneria delle Costruzioni";"INGEGNERIA EDILE - ARCHITETTURA";"LMCU";"Lecco";"LM-4CU";"EQ2 - INGEGNERIA EDILE - ARCHITETTURA";"PROGETTO DI STRUTTURE";"ICAR/09";"6";"4";"2";"";"";"";"";"";"Zani Giulio";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=181833";"9788855527835";"Daniel L. Schodek";"";"Dario Coronelli, Luca Martinelli";"Strutture";"Patron";"";"2004";"Brossura";"574";"Italiano";"42.00";"obb";"tutto";"tutti";664;94;31719;507449
"5067640f512a7779113082d08d4ebba92b93d9f6a2e0230c139209d565094c2e5d8cd556e37ea1f7fe6b332410e82ce2bf95dfb6efe4cfe44ea7af708957e407";"polimi";2022;"Scuola Architettura Urbanistica Ingegneria delle Costruzioni";"PROGETTAZIONE DELL'ARCHITETTURA";"L";"Milano Leonardo; Piacenza; Mantova";"L-17";"MIA - PROGETTAZIONE DELL'ARCHITETTURA (MILANO)";"LABORATORIO DI PROGETTAZIONE ARCHITETTONICA 2";"ICAR/08; ICAR/14";"12";"2";"A";"STRUTTURE (SEZIONE O )";"";"";"4";"A";"Kanyilmaz Alper";"https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_didattica=evento&k_doc=297768&aa=2022&lang=IT&jaf_currentWFID=main";"9788855527835";"Daniel L. Schodek";"";"Dario Coronelli, Luca Martinelli";"Strutture";"Patron";"";"2004";"Brossura";"574";"Italiano";"42.00";"obb";"tutto";"tutti";3353;896;31745;507827
"95608a01432d4ca37517e40b91b4f88a7688517fbb0871bd5ed7d5f81de2f55d4dd6fe3ccb1ed3e0624a8af4f93a270a78da260f173ac716cfde8635c94690eb";"polimi";2022;"Scuola Ingegneria Civile";"CIVIL ENGINEERING FOR RISK MITIGATION";"LM";"Lecco";"LM-23";"CHR - HYDROGEOLOGICAL RISKS";"WATER ENERGY AGRICULTURE";"ICAR/02";"10";"2";"2";"";"";"";"";"";"Corbari Chiara";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=47688";"9788855502009";"Giuseppe Evangelisti";"";"";"Impianti idroelettrici vol.1. Opere di derivazione";"Patron";"4";"1982";"";"IV-284";"Italiano";"20.00";"obb";"tutto";"tutti";179;58;31759;508320
"b68d2b7a17db80c8814d31525c02b4b4f9a99f433155351cb2a325219105d566d4c97665175ef1880679191c72d9e694b6a4e128d0326e2f9fcb3c87e9d3bb47";"polimi";2022;"Scuola Ingegneria Civile";"CIVIL ENGINEERING FOR RISK MITIGATION";"LM";"Lecco";"LM-23";"CHR - HYDROGEOLOGICAL RISKS";"WATER ENERGY AGRICULTURE";"ICAR/02";"10";"2";"2";"";"";"";"";"";"Corbari Chiara";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=47688";"9788855502016";"Giuseppe Evangelisti";"";"";"Impianti idroelettrici vol.2. Centrali idroelettriche";"Patron";"2";"1951";"";"214";"Italiano";"17.00";"obb";"tutto";"tutti";179;58;31759;508320
"7ba5387aa891acbbebf0a22a2a898fb6482120e3931ff966804f25c12faf24cf8a24935b8ae75c1b2a50c45dea5ad1e9ae43a74ddede2606da29fb668a378ec7";"polimi";2022;"Scuola Ingegneria Civile";"CIVIL ENGINEERING FOR RISK MITIGATION";"LM";"Lecco";"LM-23";"CRS - RISKS FOR STRUCTURES AND INFRASTRUCTURES";"WATER ENERGY AGRICULTURE";"ICAR/02";"10";"2";"2";"";"";"";"";"";"Corbari Chiara";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=47688";"9788855502009";"Giuseppe Evangelisti";"";"";"Impianti idroelettrici vol.1. Opere di derivazione";"Patron";"4";"1982";"";"IV-284";"Italiano";"20.00";"obb";"tutto";"tutti";179;58;31759;508320
"9892bd97b9a629053473852df6c1017f3328a02895a5d8ffeefa5ec4dcab3e4ae575ffb9339e4e6dbd03c63c42f09efcf3df70302d1b352393ebb5f18687d537";"polimi";2022;"Scuola Ingegneria Civile";"CIVIL ENGINEERING FOR RISK MITIGATION";"LM";"Lecco";"LM-23";"CRS - RISKS FOR STRUCTURES AND INFRASTRUCTURES";"WATER ENERGY AGRICULTURE";"ICAR/02";"10";"2";"2";"";"";"";"";"";"Corbari Chiara";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=47688";"9788855502016";"Giuseppe Evangelisti";"";"";"Impianti idroelettrici vol.2. Centrali idroelettriche";"Patron";"2";"1951";"";"214";"Italiano";"17.00";"obb";"tutto";"tutti";179;58;31759;508320
"29eaeb9c830b22a8e2d4d41067053dab9554b685f6479612e1740a5373526e37a9cf3f9b5d8053e4b6619edace9c6999e7f335f6f449783f309f4a24cf2907fa";"polimi";2022;"Scuola Ingegneria Civile";"INGEGNERIA CIVILE";"L";"Milano Leonardo";"L-7";"OAI - PERCORSO IN ITALIANO";"COSTRUZIONI IDRAULICHE";"ICAR/02";"9";"3";"1";"";"";"";"";"";"Becciu Gianfranco";"https://aunicalogin.polimi.it/aunicalogin/getservizio.xml?id_servizio=167&evn_didattica=evento&k_doc=1294";"9788855502009";"Giuseppe Evangelisti";"";"";"Impianti idroelettrici vol.1. Opere di derivazione";"Patron";"4";"1982";"";"IV-284";"Italiano";"20.00";"fac";"tutto";"tutti";670;203;1851;508400
