record_hash,uni_cod,a_a,facolta,laurea_nome,laurea_tipo,sede,laurea_classe_cod,curr_nome,materia_nome,materia_ssd_cod,materia_cfu,curr_materia_anno,curr_materia_periodo,modulo_nome,sub_modulo_gruppo,sub_modulo_nome,modulo_cfu,modulo_periodo,insegnamento_prof,insegnamento_prof_www,isbn,autori,curatori,traduttori,titolo,editore,edizione,anno_pub,tipo_copertina,pagg,lingua,prezzo,testo_obb,testo_uso,testo_freq,laurea_iscritti,laurea_matricole,prof_id,insegnamento_id
0374d4410f642d1c735497346767c04e0d63960f18a0e94caf9ad85d0bf8ed6a211b045c617d0358ca132e9f060cff266afc023bd66063306b7e1092a59bea6a,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,BIOTECNOLOGIE AGRARIE,LM,Catania,LM-7,PERCORSO COMUNE,BIOTECNOLOGIE FITOPATOLOGICHE,AGR/12,,1,,,,,,,Vittoria Catara,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=Q1RSVlRSNjZFNDNDMzUxSg==,9788855533829,"Alberto Matta, Roberto Buonaurio, Francesco Favaron, Aniello Scala, Felice Scala",,,Fondamenti di patologia vegetale,Patron,2,2017,Brossura,490,Italiano,50.0,obb,tutto,tutti,53,19,43411,647258
85c4c288541cb969dc89b4b1b9e1dc97daa2f4649556dc55c7ef0afd906f632cd52652887920fd3381074a9d970835a88bf4237bf8158a3941079fea498e8b7e,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,BIOTECNOLOGIE AGRARIE,LM,Catania,LM-7,PERCORSO COMUNE,MIGLIORAMENTO GENETICO DEI FRUTTIFERI E BIOTECNOLOGIE SOSTENIBILI,AGR/03,,1,,,,,,,Gaetano Distefano,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=RFNUR1RONzVFMjNaMTMzUg==,9788855531894,,"Silviero  Sansavini, Guglielmo Costa, Riccardo Gucci, Paolo Inglese",,Arboricoltura generale,Patron,,2012,Brossura,532,Italiano,55.0,obb,tutto,tutti,53,19,43417,647265
9fc69dfbaadfe895ffb71e8916b1e7813e53396e235bd6bcb2d44c2f607aced3f8534c448bd8064b427266a664d46cbc02330fd2c02d886568576f67415eb363,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,PIANIFICAZIONE E SOSTENIBILITÀ AMBIENTALE DEL TERRITORIO E DEL PAESAGGIO,L,Catania,L-21,PERCORSO COMUNE,AGRONOMIA AMBIENTALE E INERBIMENTI,AGR/02,,2,,INERBIMENTI NATURALI E ARTIFICIALI,,,,,Antonio Carlo Barbera,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=QlJCTk5DNjNCMjhDMzUxQg==,9788855527941,"W. Dietl, J. Lehmann, M. Jorquera",M. Scotton,,Le graminacee prative,Patron,,2006,,192,Italiano,18.0,obb,tutto,tutti,49,29,43450,647267
19023f1c85fa5c2744ef5e52b48358c4a9e3d72cc97bc2e2a9310d892f66dbb2c6d116d4c5a209ccc4e6a7ddbc7ba8748ff98415ddc88636a548872eb681156a,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,PIANIFICAZIONE E SOSTENIBILITÀ AMBIENTALE DEL TERRITORIO E DEL PAESAGGIO,L,Catania,L-21,PERCORSO COMUNE,DIFESA FITOSANITARIA,AGR/11; AGR/12,,3,,PATOLOGIA DELLE PIANTE AGRO-FORESTALI E ORNAMENTALI,,,,,Antonella Pane,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=UE5BTk5MNjJUNjFDMzUxSQ==,9788855530422,"Paolo Capretti, Alessandro Ragazzi",,,Elementi di patologia forestale,Patron,,2010,Cartonato,432,Italiano,38.0,obb,tutto,tutti,49,29,43427,647274
e274fd77169ef1385a2e1a24bbc3181bf3bcd7ef303a7569bb16e44636de11ecc2469f40c4044a474f7727c9d575f95e80f4b053b11d45c81480e02440c5f69e,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,PIANIFICAZIONE E SOSTENIBILITÀ AMBIENTALE DEL TERRITORIO E DEL PAESAGGIO,L,Catania,L-21,PERCORSO COMUNE,DIFESA FITOSANITARIA,AGR/11; AGR/12,,3,,PATOLOGIA DELLE PIANTE AGRO-FORESTALI E ORNAMENTALI,,,,,Antonella Pane,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=UE5BTk5MNjJUNjFDMzUxSQ==,9788855532198,"Alberto Panconesi, Salvatore Moricca, Alessandro Ragazzi",I. Dellavalle,,Parassiti delle piante arboree forestali ed ornamentali. Specie introdotte e di temuta introduzione,Patron,,2014,Brossura,448,Italiano,54.0,obb,tutto,tutti,49,29,43427,647274
d6006793e9dba09a7d99552f0b151548cf361febfc00fb05b2f0025b2c52be18a7dd4867d734eac64b4f525fb324112d065f70b025ed87aa5e5ee52f73039e57,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,PIANIFICAZIONE E SOSTENIBILITÀ AMBIENTALE DEL TERRITORIO E DEL PAESAGGIO,L,Catania,L-21,PERCORSO COMUNE,FONDAMENTI DI ARBORICOLTURA E SELVICOLTURA GENERALE,AGR/03,,1,,,,,,,Alberto Continella,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=Q05UTFJUNzRDMTJDMzUxTQ==,9788855531894,,"Silviero  Sansavini, Guglielmo Costa, Riccardo Gucci, Paolo Inglese",,Arboricoltura generale,Patron,,2012,Brossura,532,Italiano,55.0,fac,tutto,tutti,49,29,43449,647280
095e6683ced9dd879a936ac0a8591bbcabe681d839b656f45a515971f6398211af3db31558adb2682db5b06607a665e77027affc69188a8a97d2dc7e43b07da9,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,PIANIFICAZIONE E SOSTENIBILITÀ AMBIENTALE DEL TERRITORIO E DEL PAESAGGIO,L,Catania,L-21,PERCORSO COMUNE,FONDAMENTI DI ARBORICOLTURA E SELVICOLTURA GENERALE,AGR/03,,1,,,,,,,Elisabetta Nicolosi,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=TkNMTEJUNjhCNDRDMzUxQw==,9788855531894,,"Silviero  Sansavini, Guglielmo Costa, Riccardo Gucci, Paolo Inglese",,Arboricoltura generale,Patron,,2012,Brossura,532,Italiano,55.0,fac,tutto,tutti,49,29,43421,647279
8f9aba314206a97cdd1d543f8666b998fd13435401764fe23e496ae82f4ad31ca737dc8c1fb38f497ebf6e872b40c100a140401755229780a65be7b0ea04e614,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,"SALVAGUARDIA DEL TERRITORIO, DELL'AMBIENTE E DEL PAESAGGIO",LM,Catania,LM-75,PERCORSO COMUNE,AGRONOMIC PRACTICES FOR SOIL CONSERVATION,AGR/02,,2,,,,,,,Antonio Carlo Barbera,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=QlJCTk5DNjNCMjhDMzUxQg==,9788855527071,Luigi Giardini,,,A come Agronomia,Patron,,2006,,342,Italiano,28.0,obb,tutto,tutti,33,10,43450,647306
210533c1c58a7c980db6353ebc1037b2a52dcca777081d41adf174d587999ca5b6afcfbecaaf4ef62e44fa2e7ae66063ecce753958401c753eeefac3ffd9a081,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,"SALVAGUARDIA DEL TERRITORIO, DELL'AMBIENTE E DEL PAESAGGIO",LM,Catania,LM-75,PERCORSO COMUNE,AGRONOMIC PRACTICES FOR SOIL CONSERVATION,AGR/02,,2,,,,,,,Antonio Carlo Barbera,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=QlJCTk5DNjNCMjhDMzUxQg==,9788855531689,Luigi Giardini,,,L'agronomia. Per conservare il futuro,Patron,,2012,Cartonato,704,Italiano,52.0,obb,tutto,tutti,33,10,43450,647306
efda8d89d90a7ef8a95877691553b94fc77dfdc55de273d20891c1421493059d73d4bb0a010679fa1aeb718068feae262cfef5e32fad79c7552c931030d59e14,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,"SALVAGUARDIA DEL TERRITORIO, DELL'AMBIENTE E DEL PAESAGGIO",LM,Catania,LM-75,PERCORSO COMUNE,TECNICHE FITOSANITARIE PER L'AMBIENTE E IL PAESAGGIO,AGR/11; AGR/12,,1,,ENVIRONMENTAL PLANT PATHOLOGY,,,,,Santa Olga Cacciola,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=Q0NDU1RMNThDNTNDMzUxRA==,9788855530422,"Paolo Capretti, Alessandro Ragazzi",,,Elementi di patologia forestale,Patron,,2010,Cartonato,432,Italiano,38.0,obb,tutto,tutti,33,10,70186,647316
7f372557fcc73d15c18eed0178d8f6cfd64eae454b5c881ac4ceb0033ce4fd65676fcf9d84e72ab84532034a472f3627baa50d2d549ea60b44191e1c348ea032,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,SCIENZE E TECNOLOGIE AGRARIE,L,Catania,L-25,PERCORSO COMUNE,AGRONOMIA E COLTIVAZIONI ERBACEE,AGR/02,,2,,AGRONOMIA GENERALE,,,,,Salvatore Cosentino,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=Q1NOU1ZUNTVSMjZaMzI2QQ==,9788855531689,Luigi Giardini,,,L'agronomia. Per conservare il futuro,Patron,,2012,Cartonato,704,Italiano,52.0,obb,tutto,tutti,631,202,43456,647319
337a199e585d318d03a4308892c4092318447cb73b804dc36d0339f52682b6568b3d6b52e67c632ab1b5be8b3933b894fab484436ea64e6c97fc1b75f21bb6b8,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,SCIENZE E TECNOLOGIE AGRARIE,L,Catania,L-25,PERCORSO COMUNE,AGRONOMIA E COLTIVAZIONI ERBACEE,AGR/02,,2,,COLTIVAZIONI ERBACEE,,,,,Salvatore Cosentino,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=Q1NOU1ZUNTVSMjZaMzI2QQ==,9788855525411,"Remigio Baldoni, Luigi Giardini",,,Coltivazioni erbacee. Cereali e proteaginose,Patron,3,2000,Brossura,410,Italiano,31.0,obb,tutto,tutti,631,202,43456,647320
cb9aed09b4d214f197cf3bde8fd9b99a3b87f224d7a349715cd9365c5488226826ca042225690beaa55a2b58affc4771ec653395e6c636748aaa0115cfc884a7,unict,2022,Dipartimento Agricoltura Alimentazione e Ambiente,SCIENZE E TECNOLOGIE AGRARIE,L,Catania,L-25,PERCORSO COMUNE,AGRONOMIA E COLTIVAZIONI ERBACEE,AGR/02,,2,,COLTIVAZIONI ERBACEE,,,,,Salvatore Cosentino,https://www.di3a.unict.it/_uni_mod/docenti_open_from_cf.php?cf=Q1NOU1ZUNTVSMjZaMzI2QQ==,9788855526227,"Remigio Baldoni, Luigi Giardini",,,"Coltivazioni erbacee. Piante oleifere, da zucchero, da fibra, orticole e aromatiche",Patron,3,2002,Brossura,454,Italiano,35.0,obb,tutto,tutti,631,202,43456,647320
